y_test,y_pred_elastic,y_pred_binary_elastic
0,0.498389882812749,0
1,0.5001979277579179,0
1,0.5001979277579179,0
0,0.5016443637140532,1
0,0.5012827547250194,0
0,0.5001979277579179,0
0,0.5016443637140532,0
0,0.5001979277579179,0
1,0.5001979277579179,0
1,0.5001979277579179,0
0,0.5001979277579179,0
0,0.5025122252877342,1
0,0.5001979277579179,0
0,0.5001979277579179,0
1,0.5001979277579179,0
1,0.5001979277579179,0
0,0.5009211457359856,0
1,0.5001979277579179,0
1,0.4998363187688842,0
0,0.5001979277579179,0
0,0.5001979277579179,0
1,0.4991131007908166,0
0,0.5020059727030869,0
0,0.49947470977985037,0
0,0.502728481927536,0
1,0.5001979277579179,0
1,0.4987514918017828,0
1,0.4991131007908166,0
0,0.5001979277579179,0
0,0.5001979277579179,0
0,0.4976666648346814,0
1,0.49694344685661385,0
0,0.5016443637140532,0
0,0.502728481927536,0
1,0.5001979277579179,0
0,0.5005595367469517,1
1,0.5001979277579179,0
1,0.5016443637140532,0
0,0.49947470977985037,0
0,0.4991131007908166,0
0,0.5001979277579179,0
0,0.5001979277579179,0
1,0.4991131007908166,0
0,0.5020059727030869,0
1,0.5020059727030869,0
1,0.5001979277579179,0
1,0.49802827382371523,0
1,0.5001979277579179,0
0,0.5001979277579179,0
1,0.5001979277579179,0
0,0.4998363187688842,0
1,0.4998363187688842,0
1,0.5001979277579179,0
0,0.49947470977985037,0
0,0.502728481927536,0
0,0.5001979277579179,0
0,0.5001979277579179,0
0,0.5001979277579179,0
0,0.5012827547250194,1
1,0.5001979277579179,0
0,0.5001979277579179,0
1,0.49694344685661385,0
1,0.5001979277579179,0
0,0.5001979277579179,0
1,0.5001979277579179,0
0,0.5001979277579179,0
0,0.4996916751732707,0
1,0.5001979277579179,0
0,0.5001979277579179,0
0,0.5001979277579179,0
0,0.4987514918017828,0
1,0.5001979277579179,0
0,0.49694344685661385,0
1,0.5016443637140532,0
0,0.5023675816921207,0
0,0.4998363187688842,0
0,0.5016443637140532,0
1,0.5001979277579179,0
1,0.5016443637140532,0
0,0.49947470977985037,0
1,0.5001979277579179,0
0,0.4991131007908166,0
1,0.5001979277579179,0
0,0.49694344685661385,0
0,0.49947470977985037,0
0,0.502295259894314,1
0,0.5016443637140532,1
0,0.4991131007908166,0
0,0.5001979277579179,0
1,0.4998363187688842,0
0,0.4976666648346814,0
1,0.5001979277579179,0
0,0.5001979277579179,0
0,0.4911577030320731,0
1,0.5009211457359856,0
1,0.502728481927536,0
0,0.5009211457359856,0
0,0.5005595367469517,0
1,0.5007041803425653,1
0,0.5001979277579179,0
1,0.4987514918017828,0
0,0.4991131007908166,0
0,0.502728481927536,0
0,0.502728481927536,0
0,0.5001979277579179,0
0,0.5001979277579179,0
1,0.5012827547250194,0
0,0.5001979277579179,0
1,0.4991131007908166,0
1,0.5005595367469517,0
1,0.5001979277579179,0
0,0.498389882812749,0
0,0.5005595367469517,0
0,0.5012827547250194,0
1,0.5012827547250194,0
0,0.5001979277579179,0
1,0.5001979277579179,0
0,0.5001979277579179,0
0,0.49694344685661385,0
1,0.5001979277579179,0
1,0.5001979277579179,0
0,0.5001979277579179,0
0,0.5012827547250194,0
1,0.4998363187688842,0
0,0.4987514918017828,0
0,0.5012827547250194,0
0,0.5001979277579179,0
0,0.5001979277579179,1
0,0.5005595367469517,0
0,0.498389882812749,0
1,0.5012827547250194,0
1,0.4991131007908166,0
1,0.49549701090047865,0
1,0.5009211457359856,0
1,0.5005595367469517,0
1,0.5001979277579179,0
0,0.5027284746953562,0
0,0.4976666648346814,0
0,0.5001979277579179,1
1,0.5007041803425653,0
0,0.5012827547250194,0
1,0.5001979277579179,0
0,0.49188092101014075,0
